"","X01020018.0","X01211006.5","X01000005.K","X01310022.5","X01200002.2","X01410011.3","X01021002.K","X01720004.6","X01021007.0","X01700008.K","X01700009.8","X01410012.1","X01030003.7","X01300004.2","X01720006.2","X01300005.0","X01041003.7","X01300006.9","X01730007.5","X01730015.6","X01041004.5","X01730016.4","X01700010.1","X02102005.2","X01042001.6","X01042002.4","X02103007.4","X01730017.2","X01044001.7","X02105001.6","X02105002.4","X01050004.4","X01050007.9","X02103008.2","X02105014.8","X02105015.6","X02103009.0","X01050009.5","X02105016.4","X01050010.9","X01410013.K","X01051003.1","X01051004.K","X01080001.3","X01501001.0","X01502006.7","X01200003.0","X02105017.2","X02103010.4","X01080002.1","X01730018.0","X01110001.5","X01502007.5","X02105037.7","X02110013.7","X01300007.7","X02105018.0","X02103012.0","X01201003.6","X01730019.9","X02103014.7","X02104002.9","X01201005.2","X01730020.2","X02111004.3","X01201010.9","X02104007.K","X02105019.9","X02112008.1","X02105020.2","X01502008.3","X01740001.0","X01502009.1","X01610003.K","X02104008.8","X01300008.5","X01201011.7","X01202009.0","X02112009.K","X02105021.0","X01740002.9","X01202010.4","X02113001.K","X01610004.8","X02113005.2","X01611001.9","X02105022.9","X02104009.6","X01750002.3","X01202011.2","X01202012.0","X02104010.K","X01750003.1","X02210002.5","X01300009.3","X02500015.3","X02105031.8","X02810001.9","X02900000.K","X02900001.8","X01611002.7","X02941001.1","X02942001.7","X03023000.0","X03210001.5","X02500016.1","X02210003.3","X02240000.2","X02240001.0","X01770001.4","X01300010.7","X02240002.9","X02240003.7","X01310018.7","X03430007.0","X02240004.5","X02240005.3","X02300000.8","X02450000.4","X03441001.1","X02943001.2","X03340001.2","X01770002.2","X01820001.5","X02500017.K","X03404002.8","X02943002.0","X02943003.9","X02960001.5","X02000001.5","X03604001.7","X02500019.6","X03431001.7","X03450004.5","X03431004.1","X01310019.5","X02020001.4","X03701001.4","X02500020.K","X03412001.3","X03413001.9","X03414001.4","X03804005.7","X03414002.2","X02020002.2","X03801002.6","X03802001.3","X03802004.8","X03820004.6","X03804006.5","X02500021.8","X03421004.7","X02101001.4","X03804007.3","X03802005.6","X01310021.7","X02500025.0","X02500026.9","X02500027.7","X02500028.5","X03940001.4","X02510006.9","X02101003.0","X03430003.8","X04120001.4","X03430006.2","X03802006.4","X02510007.7","X04301005.0","X04306002.3","X03806002.3","X04321001.7","X02640001.5","X04323007.7","X02650002.8","X02660001.4","X04308001.6","X03814003.5","X02700001.0","X04308003.2","X04331004.6","X03815004.9","X04334001.8","X04335002.1","X04302001.3","X02710002.3","X04302014.5","X04400002.4","X03820001.1","X03823002.6","X04410001.0","X04511002.8","X02710003.1","X03823003.4","X04501003.1","X04311003.9","X04523004.K","X04511003.6","X04535001.0","X04524001.0","X02760000.K","X04530001.3","X04551004.2","X04531002.7","X04551005.0","X03823004.2","X04501004.K","X04311004.7","X04531003.5","X04502003.7","X04502004.5","X04502005.3","X03825004.3","X04311005.5","X04552002.1","X03826002.2","X03826003.0","X04511004.4","X04512002.3","X04313003.K","X04532006.5","X04503002.4","X04554003.0","X04503003.2","X04710001.1","X04314002.7","X04314003.5","X04716005.7","X04555001.K","X04513003.7","X04711001.7","X04711003.3","X04506006.3","X04314008.6","X04320001.1","X04721001.1","X04557001.0","X04721002.K","X04506007.1","X04320003.8","X04610001.8","X04711004.1","X04722001.7","X04513004.5","X04703002.1","X04723001.2","X04703003.K","X04810001.5","X04723002.0","X04537003.8","X04810003.1","X05101005.1","X04712001.2","X04713004.2","X04820001.K","X04726001.9","X04704001.9","X04540005.0","X04726003.5","X05200001.7","X05101006.K","X04900002.2","X05200005.K","X04515004.6","X05200006.8","X04715002.7","X04726004.3","X04730004.5","X04540006.9","X05211004.1","X04515005.4","X04900003.0","X05110002.6","X05200007.6","X05110003.4","X04732001.1","X05220006.7","X04515007.0","X04900004.9","X04901002.8","X05210002.K","X04520005.1","X05320001.K","X05111001.3","X04902002.3","X05403006.1","X04522003.6","X05220007.5","X05401003.6","X05403002.9","X05414001.0","X05211003.3","X04902003.1","X05111002.1","X05414004.5","X05221005.4","X05404001.6","X05410002.7","X05423003.6","X04902004.K","X05221006.2","X05111004.8","X05310001.5","X04902005.8","X05423013.3","X05410005.1","X05000001.K","X05425003.7","X05100001.3","X05414005.3","X05410006.K","X05100003.K","X05100004.8","X05427006.2","X05120003.9","X05100005.6","X05415004.0","X05424005.8","X05427007.0","X05410007.8","X05120004.7","X05500001.8","X05421005.1","X05100006.4","X05500003.4","X05510001.2","X05427008.9","X05410008.6","X05120005.5","X05120006.3","X05426004.0","X05422002.2","X05530002.K","X05510002.0","X05702011.3","X05703008.9","X05411001.4","X05705001.2","X05716001.2","X05100007.2","X05706001.8","X05706003.4","X05717008.5","X05707003.K","X05510005.5","X05722001.5","X05530003.8","X05510007.1","X05722002.3","X05520001.7","X05704002.5","X05710001.K","X05720001.4","X05704004.1","X05716004.7","X05710007.9","X05530005.4","X05720003.0","X05610000.8","X05610001.6","X05701005.3","X05722007.4","X05520002.5","X05723001.0","X05711003.1","X05721001.K","X05704005.K","X05730008.6","X05721016.8","X05704006.8","X05701008.8","X05721017.6","X05730039.6","X05701009.6","X05730012.4","X05702001.6","X05732001.K","X05737002.5","X05740004.8","X05745001.0","X05737006.8","X05737007.6","X05737008.4","X05732002.8","X05746001.6","X05748003.3","X05733006.6","X05730013.2","X06008009.7","X05747001.1","X06010014.4","X05740005.6","X06010015.2","X05748001.7","X05800002.7","X06011001.8","X06011003.4","X05730014.0","X05733007.4","X05741002.7","X06010016.0","X06012003.K","X06012031.5","X06013001.9","X06000003.4","X06013005.1","X06000004.2","X06001000.5","X06003001.4","X05730015.9","X05733008.2","X06015003.6","X05744002.3","X05730016.7","X06003004.9","X06006001.0","X06013006.K","X06016004.K","X05716005.5","X06019003.8","X05716011.K","X06023000.5","X06027001.5","X06027003.1","X06028001.0","X05744003.1","X06013008.6","X06034003.K","X05733009.0","X06019005.4","X05733010.4","X06018009.1","X06036001.4","X06034004.8","X06040001.6","X06055003.4","X06132002.4","X07103003.2","X07106007.1","X06018010.5","X07118003.4","X06042003.3","X07115001.1","X06042004.1","X07121003.0","X07306001.K","X07119007.2","X07116004.1","X07314002.1","X06056003.K","X07317001.K","X06044001.8","X07123001.5","X07116005.K","X07120002.7","X07200001.3","X07330001.0","X07104002.K","X07331002.4","X07317005.2","X07340002.3","X07352002.9","X07104005.4","X07320002.4","X07340003.1","X07352003.7","X07210001.8","X07341002.9","X07358006.4","X07332003.8","X06120001.0","X07358007.2","X07301000.4","X07301001.2","X07303000.5","X07370001.9","X07353001.6","X07320003.2","X07321001.1","X07321002.K","X07371002.2","X07355002.5","X07342002.4","X07376002.K","X07358008.0","X07355006.8","X07373003.1","X06130001.5","X07378002.0","X07345001.2","X07335004.2","X07378003.9","X07373004.K","X07355007.6","X07359001.9","X07350001.K","X06130002.3","X07336003.K","X07374004.5","X07359005.1","X07350006.0","X07337002.7","X07374005.3","X07379002.6","X01001005.5","X07357003.4","X06130003.1","X08105003.1","X07378004.7","X08117002.9","X07381002.7","X07374006.1","X08105004.K","X08118003.2","X07350007.9","X08130002.K","X07381003.5","X08220005.3","X08130003.8","X08135003.5","X08117003.7","X08105005.8","X08220006.1","X01010007.0","X08118004.0","X01010008.9","X01010009.7","X08106002.9","X07383001.K","X08117006.1","X07384002.3","X08106003.7","X08220008.8","X08117009.6","X08118007.5","X08122002.6","X08316001.2","X08135004.3","X08000000.6","X08104001.K","X08334001.0","X08301001.0","X08130004.6","X08334002.9","X08316002.0","X08140001.6","X08317001.8","X08122003.4","X08140005.9","X08317003.4","X08141001.1","X08304004.1","X08130006.2","X08341003.5","X08141002.K","X08123004.8","X08343001.K","X08343002.8","X08307002.1","X08350002.6","X08142001.7","X08317004.2","X08130007.0","X08317005.0","X08124003.5","X08312002.9","X08318002.1","X08124004.3","X08210002.4","X08313002.4","X08124005.1","X08364001.4","X08131002.5","X08132002.0","X08351001.3","X08210003.2","X08380001.1","X08113001.9","X08319001.9","X08393002.0","X08351003.K","X08319002.7","X08394001.8","X08381003.3","X08133003.4","X08821005.0","X08394006.9","X08410001.3","X08320001.4","X08353001.4","X08930000.2","X08410002.1","X08520000.3","X08358002.K","X09101001.1","X08821006.9","X09101003.8","X08323001.0","X08700001.K","X08366002.3","X08133008.5","X08134006.4","X08822008.0","X09123001.1","X08324001.6","X08700002.8","X09102003.3","X09123002.K","X08358003.8","X08700003.6","X08330002.7","X09403001.3","X08358004.6","X08367001.0","X09421001.1","X09124001.7","X09423001.2","X08332002.8","X09433003.3","X09404001.9","X09404002.7","X09104003.4","X08358005.4","X01010010.0","X10102002.9","X10110002.2","X09129002.2","X10111002.8","X08333002.3","X09437002.7","X09129004.9","X09105002.1","X10103001.6","X09438001.4","X10106001.2","X09129005.7","X10113003.7","X09404003.5","X10122003.6","X10106002.0","X10123004.K","X09439001.K","X09111002.4","X10100002.8","X09405001.4","X09412002.0","X10106003.9","X10130001.3","X10100004.4","X10123005.8","X10123006.6","X09129006.5","X09112000.3","X10304001.9","X10304002.7","X09130001.K","X10312001.2","X09412003.9","X09113003.3","X10100005.2","X10313001.8","X10133000.1","X09131002.3","X10322002.5","X10305002.2","X09414002.1","X10328001.K","X10307001.5","X09114001.2","X10340001.5","X10323002.0","X10134002.3","X10340002.3","X10350001.K","X09116001.3","X09135002.5","X10344003.3","X10405004.2","X10405006.9","X10405007.7","X10410004.K","X10354001.1","X09116002.1","X10355001.7","X09135003.3","X09416002.2","X10417001.3","X10410005.8","X10137002.K","X09120002.3","X10355003.3","X10356001.2","X09417001.K","X09120003.1","X10423000.8","X10425001.7","X09135004.1","X10360002.2","X10410015.5","X10432004.K","X09140001.4","X10451000.0","X10512000.1","X10520001.3","X10141001.3","X09417002.8","X09122001.6","X10523001.K","X09140002.2","X09420002.4","X09151001.4","X10363003.7","X10430001.4","X10610001.2","X10363004.5","X10371001.4","X09153001.5","X10704001.3","X09420003.2","X10430005.7","X10683001.0","X11023001.K","X09122003.2","X11147003.0","X10372001.K","X10683002.9","X10683003.7","X10701001.7","X11023002.8","X10704002.1","X10401002.4","X11317001.8","X11031001.3","X11503001.9","X10710001.6","X09400000.9","X09401001.2","X11033001.4","X11317005.0","X10900001.9","X09420004.0","X11034001.K","X11505001.K","X11318002.1","X11180000.6","X11300001.5","X11041001.8","X09402001.8","X11511001.2","X11536001.9","X10900002.7","X11711000.1","X10901002.2","X11536003.5","X11536004.3","X11342001.4","X11043001.9","X11513001.3","X11800000.5","X12000000.4","X12080001.9","X12125001.2","X10901003.0","X11540000.2","X11342002.2","X11541000.8","X12125002.0","X11120001.7","X10901004.9","X12210000.6","X11546001.3","X11517002.3","X12271000.9","X10902002.8","X12273000.K","X11521002.5","X12280002.4","X11553002.K","X12280004.0","X11400001.9","X11700001.K","X11521005.K","X10903003.1","X11140001.6","X12280006.7","X11523001.8","X11701002.3","X01020002.4","X01020013.K","X12283001.2","X11702000.2","X11523002.6","X11143003.9","X11532000.9","X11420000.K","X11533001.2","X11440000.9","X01020014.8","X11480000.7","X12286001.9","X10904005.3","X11704001.1","X12283002.0","X11144002.6","X12283003.9","X11706000.4","X12448001.9","X12802001.2","X12283004.7","X12286002.7","X12449001.4","X11302002.4","X12284006.9","X10906004.6","X12287002.2","X12802002.0","X12288000.1","X12876002.4","X12288003.6","X12284009.3","X11304001.7","X12289001.5","X12449002.2","X12452001.0","X12803000.K","X12293001.7","X12876003.2","X12284010.7","X12806004.9","X12452002.9","X11307002.1","X12454001.1","X12878002.5","X12400001.7","X12879000.4","X12930001.9","X12530001.4","X11310003.6","X12809001.0","X12930002.7","X12930003.5","X12930004.3","X12400002.5","X12930005.1","X11314002.K","X11316003.9","X12540001.9","X12400003.3","X12815001.3","X12582001.8","X12400006.8","X12402000.K","X12582002.6","X12403000.5","X12440001.5","X12816001.9","X12582003.4","X11316004.7","X12820001.0","X12583001.3","X12820002.9","X12585003.0","X01020015.6","X12821000.8","X12825002.6","X12586001.K","X12825003.4","X01020016.4","X12863001.5","X12586004.4","X12873001.K","X12586005.2","X12875000.2","X12876001.6","X12586006.0","X12586007.9","X12586009.5","X12586010.9","X12587000.7","X12600001.4","X12620000.5","X12622001.4","X12622002.2","X12640001.2","X12680001.0","X01020017.2"
"01/1990",76,NA,67,0,48.1,NA,NA,NA,38.2,NA,NA,0,NA,NA,NA,NA,32,7,NA,NA,55,NA,NA,NA,NA,3,4,0,NA,NA,NA,NA,28.4,9,4,0.5,1.5,NA,16.5,NA,NA,NA,NA,NA,NA,NA,30.4,4,36,NA,23.7,NA,0,NA,NA,7,1,NA,NA,0,NA,NA,NA,0.4,NA,39,2.5,NA,0,3.5,NA,0,NA,7,1,0,NA,48.5,0,1.5,NA,21.4,NA,NA,0,0,10.5,1,0,NA,NA,0,0,NA,NA,2.5,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,5,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,0,1,0,NA,NA,NA,NA,0,3,NA,0,0,0,NA,0,3.1,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,11.7,NA,0,0,NA,0.6,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0.2,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0.8,NA,0,0,0,0.6,NA,0,0,1.5,5.8,0,0,1.9,NA,NA,0,NA,NA,1.5,NA,NA,0,7.7,0,NA,5.5,NA,2,NA,NA,9.5,NA,NA,NA,3,6,NA,4,NA,7,NA,11.5,0,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,12.5,2,0,1.7,9,0.3,8,NA,8,NA,NA,0.2,NA,NA,0,21.6,0,1.5,NA,NA,9.5,0,NA,NA,5.2,NA,NA,18.6,NA,NA,NA,6.6,NA,21.3,0,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,37.3,NA,NA,NA,NA,NA,15,29,7,NA,NA,NA,21,NA,7,NA,20.5,18.2,NA,2,20,NA,36.3,NA,42,NA,NA,19,NA,NA,NA,17.5,NA,5.2,NA,NA,16.5,NA,12,NA,NA,NA,10.9,NA,NA,11.1,217,NA,NA,4.2,10,3,NA,NA,NA,NA,NA,NA,2.8,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,13.1,NA,9.5,NA,4.2,NA,NA,27.3,NA,198,NA,14,NA,17.3,37,NA,12,26,NA,96.9,NA,NA,NA,40,NA,NA,NA,8,NA,24.3,NA,13.5,NA,18.5,NA,69.7,44.1,NA,14,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,70.6,34.5,NA,11.8,2.5,NA,NA,NA,23.5,NA,NA,41,NA,45.5,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,9.5,NA,61.5,125,NA,NA,NA,NA,29,40.5,NA,59.3,NA,54.4,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,27,NA,NA,NA,NA,NA,NA,16,NA,39,NA,NA,NA,NA,214.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,53,NA,NA,147.7,NA,NA,129.7,NA,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.1,NA,NA,NA,1.5,NA,NA,NA,NA,NA,4.8,NA,NA,14.5,NA,NA,NA,NA,110.5,NA,52.8,NA,NA,NA,180.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3,NA,NA,NA,NA,33,NA,19.2,22.3,40.2,50,NA,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA,46.5,NA,NA,40.4,NA,NA,36.5,NA,NA,NA,49.5,NA,NA,NA,45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.3,32.8,30.6,NA,41.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,6.5,NA,81.1
"02/1990",24,NA,19.6,0,42,NA,NA,NA,13,NA,NA,3,NA,NA,NA,NA,12,24.1,NA,NA,NA,NA,NA,NA,NA,4.5,0,27,NA,NA,NA,NA,17.6,0,0,0,0,NA,11,NA,NA,NA,NA,NA,NA,NA,15,3.5,0,15.5,25.8,NA,19.8,NA,NA,21,0.5,NA,NA,12.3,NA,NA,NA,42,NA,28,0,NA,0,4,NA,3,NA,0,0,25,NA,21,0,4.5,NA,17,NA,NA,3,115,6.2,0,0,NA,NA,0,8,NA,NA,0,NA,NA,NA,NA,6,NA,0,NA,0,NA,NA,NA,NA,20,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,0,0,0,NA,0,NA,0,13.2,NA,NA,NA,28.6,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,1.4,0,NA,0.3,NA,0.3,NA,NA,17.3,NA,NA,NA,0,3,NA,9.5,NA,0,NA,29,0,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,1,5,0,6.5,19.7,6.5,6.5,NA,7,NA,NA,0.5,NA,NA,8.6,24.5,0,7,NA,14,8.5,0,NA,NA,16.1,NA,NA,28,NA,NA,NA,2.6,NA,39.7,10,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8,NA,NA,NA,NA,NA,21,44,23.5,NA,NA,NA,46.5,NA,83,NA,31.5,33.7,NA,2,NA,NA,80.8,NA,48.5,NA,NA,36.5,NA,NA,NA,41.4,NA,15.7,NA,NA,19.4,NA,43,NA,NA,NA,36.7,NA,NA,56.7,29,NA,NA,20,NA,46,NA,NA,NA,NA,NA,NA,21.5,NA,NA,34.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,NA,25.9,NA,NA,65.9,NA,25,NA,48.5,NA,31.9,83.5,NA,90,57,NA,35.2,NA,NA,NA,26.6,NA,NA,NA,32,NA,57.8,NA,54.3,NA,63.5,NA,65.7,82.5,NA,48.4,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,102.5,85.5,NA,151,50,NA,NA,NA,75,NA,NA,112,NA,NA,46.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.6,NA,45.5,NA,97.5,60.8,NA,NA,NA,NA,84,83.5,NA,54.5,NA,41.5,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,60.6,NA,NA,NA,NA,NA,NA,57.9,NA,80,NA,NA,NA,NA,91.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,NA,NA,NA,73,NA,NA,53.1,NA,NA,5,NA,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3,NA,NA,NA,4.6,NA,NA,NA,NA,NA,16,NA,NA,21.2,NA,NA,NA,NA,33.8,NA,24.3,NA,NA,NA,61.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,18.8,NA,NA,NA,NA,11.1,NA,0.6,10.6,23.2,26.5,NA,NA,6.2,NA,NA,NA,NA,15.8,NA,NA,NA,25.5,NA,NA,16.6,NA,NA,12.5,NA,NA,NA,14.5,NA,NA,NA,29.6,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,4.6,18,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,5.9,NA,29.4
"03/1990",23.4,NA,5,0,83,NA,NA,NA,32,NA,NA,0,NA,NA,NA,NA,6,12.6,NA,NA,NA,NA,NA,NA,NA,0,5.5,1,NA,NA,NA,NA,11,4.5,3.5,1,13,NA,3.5,NA,NA,NA,NA,NA,NA,NA,23,28,20.5,1,13.1,NA,0.2,NA,NA,29,2,NA,NA,0.2,NA,NA,NA,NA,NA,62,NA,NA,0,13.5,NA,0,NA,5.5,5,0,NA,5.5,0,12,NA,23.5,NA,NA,0,5,15.5,5,0,NA,NA,0,0,NA,NA,2.5,NA,NA,NA,NA,0,NA,0,NA,0,3,NA,NA,NA,12.4,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,0,1,0,NA,NA,NA,NA,0,4.5,NA,0,0,0,NA,0,1,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,5.5,NA,0,0,NA,13.1,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,1,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,0.4,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,0.3,NA,0,0,NA,NA,0,0,NA,1,0.5,NA,NA,2.5,NA,NA,0,0,2.5,NA,2.5,NA,2.8,1.5,0,2.3,NA,NA,NA,1.5,0,NA,5,3.5,4.2,0,1.4,NA,NA,NA,4.5,2.3,1.5,0,1.7,NA,NA,NA,NA,NA,4.2,2.3,NA,9.5,NA,NA,8,NA,NA,2.9,NA,NA,15.3,2.3,2.2,1.5,0.2,18,9,0,NA,6,1.1,NA,27.5,NA,3.2,NA,2,9.5,NA,31.5,31.5,NA,31.5,NA,NA,NA,NA,NA,NA,10.6,27.3,NA,NA,5.5,NA,NA,13,NA,NA,NA,0,0,NA,NA,20.5,NA,NA,90,NA,1.4,NA,15.6,NA,NA,NA,NA,47,NA,NA,NA,NA,12.3,NA,6.7,NA,10.3,NA,NA,NA,8.5,NA,4.5,18.5,5,20.5,NA,15.5,NA,5.7,18.2,NA,NA,NA,21.5,0,27,26.6,22.2,34.8,NA,NA,NA,23,NA,NA,NA,NA,8.7,20.8,6,14.3,NA,NA,35.8,44,12.6,NA,NA,NA,NA,100.3,NA,10.5,NA,40.3,NA,36,6,28.7,51,NA,19,28.5,58.5,104.9,45,43,43.7,NA,NA,24.6,NA,NA,39.5,NA,NA,34.8,216,29.5,NA,75.4,NA,115.1,NA,NA,93.4,NA,NA,NA,75.5,339.2,NA,82.1,NA,115,NA,116,52.3,61.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.2,193.5,64.8,79,86.8,104.1,66.2,150.2,NA,118.5,NA,NA,101,NA,NA,88.4,124.8,82.9,78,NA,42.2,72,84.4,NA,NA,101,NA,NA,154.5,NA,NA,NA,102.4,NA,164.1,23,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,61.4,321,102,NA,NA,NA,79,NA,155,NA,68,175.3,NA,52,NA,NA,162.7,NA,148.5,NA,NA,NA,NA,NA,NA,107.1,NA,79.3,NA,NA,108.1,NA,96,NA,NA,NA,127.3,NA,NA,72.6,105.5,NA,NA,103.5,57.5,100,NA,NA,NA,NA,NA,NA,66.1,NA,NA,64.4,NA,NA,NA,NA,NA,NA,NA,50.2,NA,68.5,NA,47,NA,NA,146,NA,10,NA,93.5,NA,NA,166.5,NA,149,119,NA,50.6,NA,NA,NA,68.9,NA,NA,NA,68.4,NA,111.6,NA,90,NA,132,NA,124,93.1,NA,83,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,174.7,137.5,NA,207,56,NA,NA,NA,130.4,NA,NA,282.5,NA,NA,112.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.2,NA,127.5,NA,124,137,NA,NA,NA,NA,299,153,NA,111.9,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA,98.5,NA,NA,NA,NA,NA,NA,37.3,NA,166,NA,NA,NA,NA,154.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,NA,NA,207,NA,NA,210.7,NA,NA,80.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.6,NA,NA,NA,64.2,NA,NA,NA,NA,NA,60.9,NA,NA,132.8,NA,NA,NA,NA,39.4,NA,97,NA,NA,NA,206.4,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,56.3,NA,94.9,NA,NA,124.2,NA,NA,NA,NA,82.6,NA,62,45.9,59.5,84.9,NA,NA,40.9,NA,NA,NA,NA,55,NA,NA,NA,110,NA,NA,55.9,NA,NA,55.5,NA,NA,NA,86,NA,NA,NA,99.9,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,64.9,52.9,NA,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1,63.3,NA,50.6
